2020-05-11 13:21:39.222661: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2
2020-05-11 13:21:39.321568: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2020-05-11 13:21:39.321976: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: GeForce GTX 1050 major: 6 minor: 1 memoryClockRate(GHz): 1.506
pciBusID: 0000:01:00.0
totalMemory: 1.95GiB freeMemory: 1.90GiB
2020-05-11 13:21:39.321998: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2020-05-11 13:21:39.662689: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-05-11 13:21:39.662733: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2020-05-11 13:21:39.662745: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2020-05-11 13:21:39.662851: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 1658 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1050, pci bus id: 0000:01:00.0, compute capability: 6.1)
0 120.92134 [-1.8898889] [-0.4246569]
20 0.08663774 [1.1628743] [0.47179416]
40 0.07368612 [1.1644894] [0.51979357]
60 0.06452797 [1.1531204] [0.56108254]
80 0.056530155 [1.1424378] [0.5996513]
100 0.049545567 [1.1324545] [0.63569397]
120 0.043445934 [1.1231251] [0.66937613]
140 0.03811901 [1.1144067] [0.70085263]
160 0.033467017 [1.1062591] [0.7302675]
180 0.029404333 [1.0986452] [0.75775623]
200 0.025856394 [1.09153] [0.78344464]
220 0.022757972 [1.0848807] [0.8074506]
240 0.020052042 [1.0786669] [0.82988447]
260 0.01768901 [1.0728601] [0.85084903]
280 0.015625302 [1.0674335] [0.8704405]
300 0.013823086 [1.0623624] [0.888749]
320 0.012249149 [1.0576233] [0.90585864]
340 0.010874664 [1.0531945] [0.92184764]
360 0.009674297 [1.0490558] [0.9367894]
380 0.0086259935 [1.0451882] [0.95075274]
400 0.0077104955 [1.0415738] [0.96380186]
420 0.0069109933 [1.0381962] [0.9759962]
440 0.006212803 [1.0350399] [0.9873917]
